customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,"Atelier graphique",Schmitt,"Carine ",040-322-2555,"54, rue Royale",Unknown,Nantes,Unknown,44000,France,1370,21000.00
112,"Signal Gift Stores",King,Jean,702-555-1838,"8489 Strong St.",Unknown,"Las Vegas",NV,83030,USA,1166,71800.00
114,"Australian Collectors, Co.",Ferguson,Peter,039-520-4555,"636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,1611,117300.00
119,"La Rochelle Gifts",Labrune,"Janine ",040-678-8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,1370,118200.00
121,"Baane Mini Imports",Bergulfsen,"Jonas ",007-989-9555,"Erling Skakkes gate 78",Unknown,Stavern,Unknown,4110,Norway,1504,81700.00
124,"Mini Gifts Distributors Ltd.",Nelson,Susan,415-555-1450,"5677 Strong St.",Unknown,"San Rafael",CA,97562,USA,1165,210500.00
125,"Havel & Zbyszek Co",Piestrzeniewicz,"Zbyszek ",266-427-7555,"ul. Filtrowa 68",Unknown,Warszawa,Unknown,01-012,Poland,NULL,0.00
128,"Blauer See Auto, Co.",Keitel,Roland,496-966-902555,"Lyonerstr. 34",Unknown,Frankfurt,Unknown,60528,Germany,1504,59700.00
129,"Mini Wheels Co.",Murphy,Julie,650-555-5787,"5557 North Pendale Street",Unknown,"San Francisco",CA,94217,USA,1165,64600.00
131,"Land of Toys Inc.",Lee,Kwai,212-555-7818,"897 Long Airport Avenue",Unknown,NYC,NY,10022,USA,1323,114900.00
141,"Euro+ Shopping Channel",Freyre,"Diego ",915-559-9444,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,1370,227600.00
144,"Volvo Model Replicas, Co",Berglund,"Christina ",092-112-3555,"Berguvsvägen  8",Unknown,Luleå,Unknown,"S-958 22",Sweden,1504,53100.00
145,"Danish Wholesale Imports",Petersen,"Jytte ",031-123-3555,"Vinbæltet 34",Unknown,Kobenhavn,Unknown,1734,Denmark,1401,83400.00
146,"Saveley & Henriot, Co.",Saveley,"Mary ",078-325-5555,"2, rue du Commerce",Unknown,Lyon,Unknown,69004,France,1337,123900.00
148,"Dragon Souveniers, Ltd.",Natividad,Eric,652-217-7555,"Bronz Sok.","Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,079903,Singapore,1621,103800.00
151,"Muscle Machine Inc",Young,Jeff,212-555-7413,"4092 Furth Circle","Suite 400",NYC,NY,10022,USA,1286,138500.00
157,"Diecast Classics Inc.",Leong,Kelvin,215-555-1555,"7586 Pompton St.",Unknown,Allentown,PA,70267,USA,1216,100600.00
161,"Technics Stores Inc.",Hashimoto,Juri,650-555-6809,"9408 Furth Circle",Unknown,Burlingame,CA,94217,USA,1165,84600.00
166,"Handji Gifts& Co",Victorino,Wendy,652-241-1555,"106 Linden Road Sandown","2nd Floor",Singapore,Unknown,069045,Singapore,1612,97900.00
167,"Herkku Gifts",Oeztan,Veysel,472-267-3215,"Brehmen St. 121","PR 334 Sentrum",Bergen,Unknown,"N 5804","Norway  ",1504,96800.00
168,"American Souvenirs Inc",Franco,Keith,203-555-7845,"149 Spinnaker Dr.","Suite 101","New Haven",CT,97823,USA,1286,0.00
169,"Porto Imports Co.","de Castro","Isabel ",013-565-5555,"Estrada da saúde n. 58",Unknown,Lisboa,Unknown,1756,Portugal,NULL,0.00
171,"Daedalus Designs Imports",Rancé,"Martine ",020-161-1555,"184, chaussée de Tournai",Unknown,Lille,Unknown,59000,France,1370,82900.00
172,"La Corne D'abondance, Co.",Bertrand,Marie,142-342-2555,"265, boulevard Charonne",Unknown,Paris,Unknown,75012,France,1337,84300.00
173,"Cambridge Collectables Co.",Tseng,Jerry,617-555-5555,"4658 Baden Av.",Unknown,Cambridge,MA,51247,USA,1188,43400.00
